md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,3,random-partition,features_0,0.6080042130390626,0.3109299853828125,0.29707422765625,0.0937024,0.18463134765625,0.0,0.032214768,0.0003814697265625
1,tiny_yolov2,2,random-partition,features_22,2.112869129254585,0.9492687660045852,1.16360036325,0.7207205546666666,0.08251953125,0.0,0.13797013211428574,0.008058547973632812
2,googlenet,1,random-partition,"maxpool3,inception4a_branch2_0_bn,relu_15",1.4029530367265621,0.5427771908265624,0.8601758458999997,0.35831057919999987,0.1435546875,0.0,0.0405304544,0.0003814697265625
3,densenet121,0,random-partition,"features_transition3_pool,features_denseblock4_denselayer1_conv2,features_denseblock4_denselayer2_conv2,features_denseblock4_denselayer3_conv2,features_denseblock4_denselayer4_conv2,features_denseblock4_denselayer5_conv2,features_denseblock4_denselayer6_conv2,features_denseblock4_denselayer7_conv2,features_denseblock4_denselayer8_conv2,features_denseblock4_denselayer9_conv2,features_denseblock4_denselayer10_conv2,features_denseblock4_denselayer11_conv2,features_denseblock4_denselayer12_conv2,features_denseblock4_denselayer13_conv2,features_denseblock4_denselayer14_conv2,features_denseblock4_denselayer15_norm2",2.950185810220879,0.8656861650646304,2.084499645156249,0.8134629439999996,0.05084228515625,0.0,0.0009994661818181819,0.0003814697265625
4,resnet101,4,random-partition,"layer3_17_relu_2,layer3_18_conv2",5.423322227526567,1.5942219668581428,3.829100260668424,1.2820865886315802,0.2392578125,0.0,0.07249609600000002,0.0003814697265625
