model,md_gflops,method,cost,latency,energy,partition
tiny_yolov2,1.5,Only-Local,13.982232575999994,4.660744191999998,9.321488383999997,local-only
tiny_yolov2,1.5,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,1.5,MinCut,1.841991367059347,0.9695530903926805,0.8724382766666666,features_3
tiny_yolov2,2.0,Only-Local,10.486674432,3.495558144,6.991116288,local-only
tiny_yolov2,2.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,2.0,MinCut,1.6960487710022045,0.8031925340022044,0.892856237,features_7
tiny_yolov2,3.0,Only-Local,6.991116287999997,2.330372095999999,4.660744191999998,local-only
tiny_yolov2,3.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,3.0,MinCut,1.4146597150022044,0.7093961820022043,0.705263533,features_7
tiny_yolov2,4.0,Only-Local,5.243337216,1.747779072,3.495558144,local-only
tiny_yolov2,4.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,4.0,MinCut,1.2332836663450615,0.5862836438450614,0.6470000225,features_11
tiny_yolov2,5.0,Only-Local,4.1946697728,1.3982232576,2.7964465152,local-only
tiny_yolov2,5.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,5.0,MinCut,1.0886953783450615,0.5380875478450614,0.5506078305,features_11
tiny_yolov2,6.0,Only-Local,3.4955581439999985,1.1651860479999996,2.330372095999999,local-only
tiny_yolov2,6.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,6.0,MinCut,0.9923031863450615,0.5059568171783948,0.4863463691666667,features_11
googlenet,1.0,Only-Local,9.022399584000002,3.0074665280000006,6.014933056000001,local-only
googlenet,1.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,1.0,MinCut,1.1770217960122769,0.5091442500122768,0.667877546,maxpool1
googlenet,1.5,Only-Local,6.014933056000003,2.0049776853333343,4.009955370666669,local-only
googlenet,1.5,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,1.5,MinCut,0.9387861480122768,0.42973236734561016,0.5090537806666666,maxpool1
googlenet,2.0,Only-Local,4.511199792000001,1.5037332640000003,3.0074665280000006,local-only
