experiment,scenario,slot,method,compression_ratio,active_md_count,bandwidth_up_mb_s,bandwidth_down_mb_s,total_cost,total_latency,total_energy,avg_task_queue_wait,avg_queue_backlog,max_queue_backlog,mean_external_load
online_extension,online_bandwidth_trace,0,Online Only-Local,4.0,5,0.5,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,0,Online Only-Server,4.0,5,0.5,10.0,17.94851054848681,9.39382304848681,8.5546875,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,0,Static MinCut+BMatch,4.0,5,0.5,10.0,5.627769601929992,3.084969222496439,2.5428003794335527,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,0,Online MinCut+BMatch,4.0,5,0.5,10.0,5.285071841329992,2.8368505373964394,2.4482213039335528,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,1,Online Only-Local,4.0,5,0.5,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,1,Online Only-Server,4.0,5,0.5,10.0,18.02475294848681,9.47006544848681,8.5546875,0.015248480000000142,0.015248480000000142,0.07624240000000071,0.0
online_extension,online_bandwidth_trace,1,Static MinCut+BMatch,4.0,5,0.5,10.0,5.699032033929992,3.1562316544964393,2.5428003794335527,0.01425248640000013,0.01425248640000013,0.07126243200000065,0.0
online_extension,online_bandwidth_trace,1,Online MinCut+BMatch,4.0,5,0.5,10.0,5.356334273329992,2.9081129693964396,2.4482213039335528,0.01425248640000013,0.01425248640000013,0.07126243200000065,0.0
online_extension,online_bandwidth_trace,2,Online Only-Local,4.0,5,0.5,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,2,Online Only-Server,4.0,5,0.5,10.0,18.100995348486812,9.546307848486812,8.5546875,0.030496960000000285,0.030496960000000285,0.15248480000000142,0.0
