md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,3,min-cut,features_2,0.3282116694057291,0.17100730609947914,0.15720436330624998,0.09392477866666667,0.04449462890625,0.0,0.0322064288,0.0003814697265625
1,tiny_yolov2,4,min-cut,features_11,1.266971488973633,0.6199714664736329,0.6470000225,0.3213073066666667,0.1650390625,0.0,0.12556654933333333,0.008058547973632812
2,googlenet,2,min-cut,maxpool1,0.6052562408122768,0.31855573161227685,0.2867005092,0.0476471296,0.19140625,0.0,0.07912088228571433,0.0003814697265625
3,densenet121,1,min-cut,features_pool0,0.6852862150598957,0.4085090850598957,0.27677713000000004,0.03414835200000001,0.19140625,0.0,0.18257301333333323,0.0003814697265625
4,resnet101,0,min-cut,maxpool,1.1797455705992896,0.9178858785782371,0.26185969202105264,0.025161943578947372,0.19140625,0.0,0.7009362152727272,0.0003814697265625
