md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,0,server-only,server-only,1.2137800751811079,0.639561325181108,0.57421875,0,0.57421875,0.0,0.06496110545454545,0.0003814697265625
1,tiny_yolov2,3,server-only,server-only,4.143773955173633,2.163305205173633,1.98046875,0,1.98046875,0.0,0.17477790720000003,0.008058547973632812
2,googlenet,1,server-only,server-only,1.2490678539932292,0.6748491039932292,0.57421875,0,0.57421875,0.0,0.10024888426666663,0.0003814697265625
3,densenet121,2,server-only,server-only,1.312139794412277,0.7379210444122769,0.57421875,0,0.57421875,0.0,0.16332082468571438,0.0003814697265625
4,resnet101,4,server-only,server-only,1.4750613697265633,0.9008426197265632,0.57421875,0,0.57421875,0.0,0.3262424000000007,0.0003814697265625
