model,bandwidth_mb_s,method,cost,latency,energy,partition
alexnet,0.5,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.5,Only-Server,2.3380891645837054,1.1896516645837054,1.1484375,server-only
alexnet,0.5,MinCut,0.3560545005515625,0.17314046407239583,0.18291403647916665,features_2
alexnet,1.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,1.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1.0,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2
alexnet,2.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,2.0,Only-Server,0.6154329145837054,0.32832353958370536,0.287109375,server-only
alexnet,2.0,MinCut,0.2225706138328125,0.10639852071302083,0.11617209311979167,features_2
alexnet,3.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,3.0,Only-Server,0.42402666458370536,0.23262041458370536,0.19140625,server-only
alexnet,3.0,MinCut,0.2077390708640625,0.09898274922864583,0.10875632163541667,features_2
alexnet,4.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,4.0,Only-Server,0.32832353958370536,0.18476885208370536,0.1435546875,server-only
alexnet,4.0,MinCut,0.2003232993796875,0.09527486348645833,0.10504843589322917,features_2
alexnet,5.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,5.0,Only-Server,0.27090166458370535,0.15605791458370535,0.11484375,server-only
alexnet,5.0,MinCut,0.1958738364890625,0.09305013204114584,0.10282370444791666,features_2
tiny_yolov2,0.5,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,0.5,Only-Server,8.129679727630776,4.1687422276307755,3.9609375,server-only
tiny_yolov2,0.5,MinCut,1.8043422713450616,0.8316495330117282,0.9726927383333335,features_11
tiny_yolov2,1.0,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,1.0,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875,server-only
tiny_yolov2,1.0,MinCut,1.4146597150022044,0.7093961820022043,0.705263533,features_7
tiny_yolov2,2.0,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,2.0,Only-Server,2.1882734776307755,1.1980391026307757,0.990234375,server-only
tiny_yolov2,2.0,MinCut,1.0226235970593471,0.5864044587260138,0.4362191383333333,features_3
tiny_yolov2,3.0,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,3.0,Only-Server,1.5281172276307757,0.8679609776307757,0.66015625,server-only
tiny_yolov2,3.0,MinCut,0.8025715137260138,0.4763784170593471,0.3261930966666667,features_3
tiny_yolov2,4.0,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,4.0,Only-Server,1.1980391026307757,0.7029219151307757,0.4951171875,server-only
tiny_yolov2,4.0,MinCut,0.6925454720593471,0.42136539622601377,0.2711800758333333,features_3
tiny_yolov2,5.0,Only-Local,6.991116287999999,2.3303720959999996,4.660744191999999,local-only
tiny_yolov2,5.0,Only-Server,0.9999922276307757,0.6038984776307756,0.39609375,server-only
tiny_yolov2,5.0,MinCut,0.626529847059347,0.3883575837260137,0.2381722633333333,features_3
googlenet,0.5,Only-Local,3.0074665280000015,1.0024888426666672,2.0049776853333343,local-only
googlenet,0.5,Only-Server,2.3831840848122767,1.2347465848122767,1.1484375,server-only
