model,bandwidth_mb_s,md_gflops,gain,mincut_cost,endpoint_cost,best_endpoint,partition
tiny_yolov2,2.0,4.0,0.5686612886136414,0.9438870620022043,2.1882734776307755,Only-Server,features_7
tiny_yolov2,3.0,4.0,0.5008441630432857,0.7627686337260138,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,4.0,0.4551575231342711,0.652742592059347,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,4.0,0.41326847264658684,0.586726967059347,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,5.0,0.6859757123124736,1.3172281874879186,4.194669772800001,Only-Local,features_15
tiny_yolov2,1.0,5.0,0.7388432004432665,1.0886953783450615,4.1687422276307755,Only-Server,features_11
tiny_yolov2,2.0,5.0,0.6072381473394518,0.8594703452022042,2.1882734776307755,Only-Server,features_7
tiny_yolov2,3.0,5.0,0.5164723671942373,0.7388869057260138,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,5.0,0.47509153693028,0.628860864059347,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,5.0,0.43715038626563724,0.562845239059347,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,6.0,0.662187637784028,1.1808427538879187,3.4955581439999994,Only-Local,features_15
tiny_yolov2,1.0,6.0,0.7161245370647561,0.9923031863450615,3.4955581439999994,Only-Local,features_11
tiny_yolov2,2.0,6.0,0.6329560531566585,0.8031925340022043,2.1882734776307755,Only-Server,features_7
tiny_yolov2,3.0,6.0,0.5463918082971703,0.6931664923355376,1.5281172276307757,Only-Server,features_7
tiny_yolov2,4.0,6.0,0.4883808794609526,0.612939712059347,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,6.0,0.4530716620116709,0.546924087059347,0.9999922276307757,Only-Server,features_3
googlenet,0.5,1.0,0.3454830846039555,1.5598342960122766,2.3831840848122767,Only-Server,maxpool1
googlenet,1.0,1.0,0.04675031258237998,1.1770217960122766,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,1.0,0.0,0.6605278348122767,0.6605278348122767,Only-Server,server-only
googlenet,3.0,1.0,0.0,0.4691215848122768,0.4691215848122768,Only-Server,server-only
googlenet,4.0,1.0,0.0,0.3734184598122768,0.3734184598122768,Only-Server,server-only
googlenet,5.0,1.0,0.0,0.31599658481227677,0.31599658481227677,Only-Server,server-only
googlenet,0.5,1.5,0.44544835775186076,1.3215986480122768,2.3831840848122767,Only-Server,maxpool1
googlenet,1.0,1.5,0.23969326211580164,0.9387861480122768,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,1.5,0.0,0.6605278348122767,0.6605278348122767,Only-Server,server-only
googlenet,3.0,1.5,0.0,0.4691215848122768,0.4691215848122768,Only-Server,server-only
googlenet,4.0,1.5,0.0,0.3734184598122768,0.3734184598122768,Only-Server,server-only
googlenet,5.0,1.5,0.0,0.31599658481227677,0.31599658481227677,Only-Server,server-only
googlenet,0.5,2.0,0.4954309943258135,1.2024808240122766,2.3831840848122767,Only-Server,maxpool1
googlenet,1.0,2.0,0.3361647368825126,0.8196683240122767,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,2.0,0.04884844982977891,0.6282620740122767,0.6605278348122767,Only-Server,maxpool1
googlenet,3.0,2.0,0.0,0.4691215848122768,0.4691215848122768,Only-Server,server-only
googlenet,4.0,2.0,0.0,0.3734184598122768,0.3734184598122768,Only-Server,server-only
googlenet,5.0,2.0,0.0,0.31599658481227677,0.31599658481227677,Only-Server,server-only
googlenet,0.5,3.0,0.5454136308997661,1.0833630000122767,2.3831840848122767,Only-Server,maxpool1
googlenet,1.0,3.0,0.4326362116492235,0.7005505000122767,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,3.0,0.2291857766191239,0.5091442500122767,0.6605278348122767,Only-Server,maxpool1
googlenet,3.0,3.0,0.05068924326483281,0.4453421666789434,0.4691215848122768,Only-Server,maxpool1
googlenet,4.0,3.0,0.0,0.3734184598122768,0.3734184598122768,Only-Server,server-only
googlenet,5.0,3.0,0.0,0.31599658481227677,0.31599658481227677,Only-Server,server-only
googlenet,0.5,4.0,0.5461056325512986,1.0238040880122767,2.2555998960000005,Only-Local,maxpool1
googlenet,1.0,4.0,0.4808719490325789,0.6409915880122767,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,4.0,0.3193544400137963,0.44958533801227674,0.6605278348122767,Only-Server,maxpool1
googlenet,3.0,4.0,0.17764761381994795,0.3857832546789435,0.4691215848122768,Only-Server,maxpool1
googlenet,4.0,4.0,0.05231730324692898,0.35388221301227674,0.3734184598122768,Only-Server,maxpool1
googlenet,5.0,4.0,0.0,0.31599658481227677,0.31599658481227677,Only-Server,server-only
googlenet,0.5,5.0,0.45243572310603336,0.9880687408122768,1.8044799167999994,Only-Local,maxpool1
googlenet,1.0,5.0,0.5098133914625921,0.6052562408122768,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,5.0,0.3734556380505997,0.4138499908122768,0.6605278348122767,Only-Server,maxpool1
googlenet,3.0,5.0,0.25382263615301726,0.35004790747894343,0.4691215848122768,Only-Server,maxpool1
googlenet,4.0,5.0,0.1480151624742544,0.3181468658122768,0.3734184598122768,Only-Server,maxpool1
googlenet,5.0,5.0,0.05376749248759571,0.2990062408122768,0.31599658481227677,Only-Server,maxpool1
googlenet,0.5,6.0,0.3587658136607688,0.9642451760122768,1.5037332640000007,Only-Local,maxpool1
googlenet,1.0,6.0,0.5291076864159343,0.5814326760122768,1.2347465848122767,Only-Server,maxpool1
googlenet,2.0,6.0,0.40952310340846876,0.3900264260122768,0.6605278348122767,Only-Server,maxpool1
googlenet,3.0,6.0,0.3046059843750634,0.3262243426789434,0.4691215848122768,Only-Server,maxpool1
googlenet,4.0,6.0,0.21181373529247152,0.2943233010122768,0.3734184598122768,Only-Server,maxpool1
googlenet,5.0,6.0,0.12915933513726494,0.27518267601227675,0.31599658481227677,Only-Server,maxpool1
densenet121,0.5,1.0,0.33364701863433704,1.639613016012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,1.0,0.04217483429407542,1.256800516012277,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,1.0,0.0,0.7379210444122769,0.7379210444122769,Only-Server,server-only
densenet121,3.0,1.0,0.0,0.5465147944122769,0.5465147944122769,Only-Server,server-only
densenet121,4.0,1.0,0.0,0.4508116694122769,0.4508116694122769,Only-Server,server-only
densenet121,5.0,1.0,0.0,0.39338979441227684,0.39338979441227684,Only-Server,server-only
densenet121,0.5,1.5,0.43079432814695934,1.400574552012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,1.5,0.22434937470352032,1.017762052012277,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,1.5,0.0,0.7379210444122769,0.7379210444122769,Only-Server,server-only
densenet121,3.0,1.5,0.0,0.5465147944122769,0.5465147944122769,Only-Server,server-only
densenet121,4.0,1.5,0.0,0.4508116694122769,0.4508116694122769,Only-Server,server-only
densenet121,5.0,1.5,0.0,0.39338979441227684,0.39338979441227684,Only-Server,server-only
densenet121,0.5,2.0,0.47936798290327043,1.281055320012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,2.0,0.31543664490824275,0.898242820012277,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,2.0,0.04212439072632415,0.706836570012277,0.7379210444122769,Only-Server,features_pool0
densenet121,3.0,2.0,0.0,0.5465147944122769,0.5465147944122769,Only-Server,server-only
densenet121,4.0,2.0,0.0,0.4508116694122769,0.4508116694122769,Only-Server,server-only
densenet121,5.0,2.0,0.0,0.39338979441227684,0.39338979441227684,Only-Server,server-only
densenet121,0.5,3.0,0.5279416376595816,1.161536088012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,3.0,0.4065239151129652,0.7787235880122769,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,3.0,0.20409189782620918,0.5873173380122769,0.7379210444122769,Only-Server,features_pool0
densenet121,3.0,3.0,0.04208402035679014,0.5235152546789437,0.5465147944122769,Only-Server,features_pool0
densenet121,4.0,3.0,0.0,0.4508116694122769,0.4508116694122769,Only-Server,server-only
densenet121,5.0,3.0,0.0,0.39338979441227684,0.39338979441227684,Only-Server,server-only
densenet121,0.5,4.0,0.5522284650377371,1.101776472012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,4.0,0.4520675502153264,0.7189639720122769,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,4.0,0.2850756513761517,0.5275577220122769,0.7379210444122769,Only-Server,features_pool0
densenet121,3.0,4.0,0.1514307692664252,0.4637556386789436,0.5465147944122769,Only-Server,features_pool0
densenet121,4.0,4.0,0.042050979790994036,0.43185459701227696,0.4508116694122769,Only-Server,features_pool0
densenet121,5.0,4.0,0.0,0.39338979441227684,0.39338979441227684,Only-Server,server-only
densenet121,0.5,5.0,0.5668005614646305,1.0659207024122768,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,5.0,0.47939373127674306,0.683108202412277,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,5.0,0.33366590350611713,0.49170195241227693,0.7379210444122769,Only-Server,features_pool0
densenet121,3.0,5.0,0.21703881861220622,0.42789986907894356,0.5465147944122769,Only-Server,features_pool0
densenet121,4.0,5.0,0.12158700787727937,0.39599882741227693,0.4508116694122769,Only-Server,features_pool0
densenet121,5.0,5.0,0.04202343892702676,0.3768582024122769,0.39338979441227684,Only-Server,features_pool0
densenet121,0.5,6.0,0.5765152924158927,1.042016856012277,2.4605772944122766,Only-Server,features_pool0
densenet121,1.0,6.0,0.4976111853176876,0.6592043560122769,1.312139794412277,Only-Server,features_pool0
densenet121,2.0,6.0,0.3660594049260941,0.46779810601227695,0.7379210444122769,Only-Server,features_pool0
densenet121,3.0,6.0,0.26077751817606015,0.4039960226789436,0.5465147944122769,Only-Server,features_pool0
densenet121,4.0,6.0,0.1746110266014695,0.37209498101227695,0.4508116694122769,Only-Server,features_pool0
densenet121,5.0,6.0,0.10278720743228821,0.3529543560122769,0.39338979441227684,Only-Server,features_pool0
resnet101,0.5,1.0,0.2991116953998324,1.923710339897991,2.744674618297991,Only-Server,maxpool
resnet101,1.0,1.0,0.03466858260945981,1.540897839897991,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,1.0,0.0,1.0220183682979909,1.0220183682979909,Only-Server,server-only
resnet101,3.0,1.0,0.0,0.8306121182979909,0.8306121182979909,Only-Server,server-only
resnet101,4.0,1.0,0.0,0.7349089932979909,0.7349089932979909,Only-Server,server-only
resnet101,5.0,1.0,0.0,0.6774871182979909,0.6774871182979909,Only-Server,server-only
resnet101,0.5,1.5,0.38620342656767154,1.6846718758979908,2.744674618297991,Only-Server,maxpool
resnet101,1.0,1.5,0.18441980769992633,1.3018593758979908,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,1.5,0.0,1.0220183682979909,1.0220183682979909,Only-Server,server-only
resnet101,3.0,1.5,0.0,0.8306121182979909,0.8306121182979909,Only-Server,server-only
resnet101,4.0,1.5,0.0,0.7349089932979909,0.7349089932979909,Only-Server,server-only
resnet101,5.0,1.5,0.0,0.6774871182979909,0.6774871182979909,Only-Server,server-only
resnet101,0.5,2.0,0.429749292151591,1.565152643897991,2.744674618297991,Only-Server,maxpool
resnet101,1.0,2.0,0.25929542024515945,1.182340143897991,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,2.0,0.030414790344488712,0.990933893897991,1.0220183682979909,Only-Server,maxpool
resnet101,3.0,2.0,0.0,0.8306121182979909,0.8306121182979909,Only-Server,server-only
resnet101,4.0,2.0,0.0,0.7349089932979909,0.7349089932979909,Only-Server,server-only
resnet101,5.0,2.0,0.0,0.6774871182979909,0.6774871182979909,Only-Server,server-only
resnet101,0.5,3.0,0.47329515773551056,1.445633411897991,2.744674618297991,Only-Server,maxpool
resnet101,1.0,3.0,0.33417103279039273,1.062820911897991,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,3.0,0.14735909947568399,0.871414661897991,1.0220183682979909,Only-Server,maxpool
resnet101,3.0,3.0,0.02768986778144022,0.8076125785646575,0.8306121182979909,Only-Server,maxpool
resnet101,4.0,3.0,0.0,0.7349089932979909,0.7349089932979909,Only-Server,server-only
resnet101,5.0,3.0,0.0,0.6774871182979909,0.6774871182979909,Only-Server,server-only
resnet101,0.5,4.0,0.49506809052747036,1.385873795897991,2.744674618297991,Only-Server,maxpool
