md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,-1,local-only,local-only,2.0960783359999997,0.9527628799999999,1.1433154559999998,0.9527628799999999,0,0.0,0,0.0
1,tiny_yolov2,-1,local-only,local-only,5.825930239999999,2.3303720959999996,3.4955581439999994,2.3303720959999996,0,0.0,0,0.0
2,googlenet,-1,local-only,local-only,1.8044799167999994,0.6014933055999998,1.2029866111999996,0.6014933055999998,0,0.0,0,0.0
3,densenet121,-1,local-only,local-only,2.8581144319999976,0.8166041234285708,2.041510308571427,0.8166041234285708,0,0.0,0,0.0
4,resnet101,-1,local-only,local-only,6.263854080000009,1.6483826526315812,4.615471427368427,1.6483826526315812,0,0.0,0,0.0
