md_count,es_slots,matrix_pairs,matrix_build_ms,hungarian_ms,total_runtime_ms,total_cost
5,5,25,416.7007000000069,0.06129999999870961,416.7620000000056,4.442974948997719
10,10,100,1512.0744000000172,0.17470000000230357,1512.2491000000196,7.4578838720579546
10,20,200,3102.1036999999865,0.1675000000034288,3102.27119999999,7.234293209245933
20,20,400,7660.284100000013,0.23880000000531254,7660.522900000018,14.915767744115907
20,50,1000,14632.279799999993,0.3689000000122178,14632.648700000005,14.413867813852354
50,50,2500,34636.3968,0.8225999999922351,34637.219399999994,37.28941936028979
