experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,0,4.065471184850825,2.435929467823522,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,1,3.9156961010274474,2.286154384000145,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,2,3.835158899803205,2.2056171827759026,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,3,3.7832756520508255,2.1537339350235225,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,4,3.898242212494114,2.268700495466812,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,5,4.039907346831777,2.410365629804474,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,6,3.8477695711226865,2.218227854095384,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,7,3.9644807845893513,2.3349390675620487,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,8,3.979441260475066,2.349899543447764,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,9,3.83422780675905,2.2046860897317475,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,10,3.8930789808750674,2.2635372638477644,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,11,3.9531976199226855,2.3236559028953825,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,12,3.904446019863811,2.2749043028365086,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,13,4.044490674869872,2.4149489578425696,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,14,3.7243663805841583,2.0948246635568557,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,15,3.8192606025062354,2.1897188854789333,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,16,3.8063387113893525,2.1767969943620504,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,17,3.886412266111431,2.2568705490841285,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,18,3.9763262030638105,2.3467844860365075,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,19,4.039907346831777,2.410365629804474,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,20,3.7950886302257163,2.1655469131984137,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,21,3.8341942326084,2.204652515581098,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,22,3.886412266111431,2.2568705490841285,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,23,3.885900764760781,2.2563590477334787,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,24,4.099471406984158,2.4699296899568552,1.629541717027303
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,25,3.979441260475066,2.349899543447764,1.629541717027303
