experiment,scenario,method,compression_ratio,slots,avg_active_md_count,avg_total_cost,std_total_cost,avg_total_latency,avg_total_energy,avg_task_queue_wait,avg_queue_backlog,max_queue_backlog,policy_switch_rate
online_extension,online_bandwidth_trace,Online Only-Local,4.0,9,5.0,108.73390990898692,0.0,35.64031191584413,73.0935979931428,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,4.0,9,5.0,18.268378525823287,9.601016487632911,12.286933213323287,5.9814453125,0.8644257919999999,0.8644257919999999,6.729349120000001,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,4.0,9,5.0,13.53305968160539,4.313880009604366,9.791741078584037,3.741318603021354,0.8644257919999999,0.8644257919999999,6.729349120000001,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,4.0,9,5.0,10.815781596009606,3.5599235044414894,7.320916626306133,3.4948649697034724,0.43668571804444456,0.7947947889777779,3.3921525279999996,0.55
online_extension,online_burst_load,Online Only-Local,4.0,9,3.6666666666666665,73.56336846122937,25.98071420569042,24.118239673419897,49.44512878780948,0.0,0.0,0.0,0.0
online_extension,online_burst_load,Online Only-Server,4.0,9,3.6666666666666665,7.204541821155067,2.8924847889219105,5.099073071155067,2.10546875,0.3388929314878306,0.6115051177142856,2.86467456,0.435
online_extension,online_burst_load,Static MinCut+BMatch,4.0,9,3.6666666666666665,7.409055264047865,2.4871903294506215,5.928605790243697,1.480449473804167,0.9823682731259259,0.6853294494222222,5.4037116586666665,0.17
online_extension,online_burst_load,Online MinCut+BMatch,4.0,9,3.6666666666666665,5.8579712337739975,2.2667874347880828,4.242056635205247,1.61591459856875,0.3826246741375662,0.6536942565968253,1.9370230879999997,0.595
online_extension,online_composite_nonstationary,Online Only-Local,4.0,9,4.0,93.93184974122939,20.32995383667025,31.392697273419895,62.53915246780948,0.0,0.0,0.0,0.0
online_extension,online_composite_nonstationary,Online Only-Server,4.0,9,4.0,12.57940534703133,4.640323201304441,8.55987409703133,4.01953125,0.5537939643809523,0.7384399336706031,3.4007849599999993,0.36
online_extension,online_composite_nonstationary,Static MinCut+BMatch,4.0,9,4.0,10.220606684074973,0.9401744509288514,7.85515395772914,2.365452726345833,0.920266238984127,0.7658923238095239,6.729349120000001,0.065
online_extension,online_composite_nonstationary,Online MinCut+BMatch,4.0,9,4.0,8.920000625665963,0.9447798530388188,6.489807951222214,2.43019267444375,0.5051863099644444,0.7446005743817142,2.896481455999999,0.555
