experiment,scenario,model,method,nodes,edges,runtime_ms,runtime_ms_std,cost,latency,energy,partition,transmitted_node_count
single_pair_partition,standard_pair,alexnet,Only-Local,21,21,0.08173333333338917,0.01928666781892837,1.42914432,0.47638144,0.95276288,local-only,0
single_pair_partition,standard_pair,alexnet,Only-Server,21,21,0.05769999999986434,0.0027067816062079247,1.1896516645837054,0.6154329145837054,0.57421875,server-only,1
single_pair_partition,standard_pair,alexnet,ChainTopo,21,21,1.395366666667286,0.06850072181337326,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,alexnet,GreedyCut,21,21,1.5314333333336094,0.007734913631855759,0.26706524273906246,0.1286458351661458,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,alexnet,MinCut,21,21,1.208633333333727,0.023751818644377327,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,vgg19,Only-Local,45,45,0.08550000000084879,0.016018947114745566,39.282071040000005,13.094023680000001,26.188047360000002,local-only,0
single_pair_partition,standard_pair,vgg19,Only-Server,45,45,0.0558666666670149,0.0056097137980717846,2.271163856583705,1.6969451065837051,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,ChainTopo,45,45,3.7168333333337245,0.9105463463706068,2.271163856583705,1.6969451065837051,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,GreedyCut,45,45,4.750266666667595,0.3672595842478015,2.271163856583705,1.6969451065837051,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,MinCut,45,45,1.6541666666665122,0.43346737157721343,2.271163856583705,1.6969451065837051,0.57421875,server-only,1
single_pair_partition,standard_pair,googlenet,Only-Local,196,223,0.5641666666657367,0.053306430714681274,3.007466528,1.0024888426666667,2.0049776853333334,local-only,0
single_pair_partition,standard_pair,googlenet,Only-Server,196,223,0.3568999999998823,0.01922099546578757,1.2347465848122767,0.6605278348122768,0.57421875,server-only,1
single_pair_partition,standard_pair,googlenet,ChainTopo,196,223,68.20313333333416,2.939853094214456,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,googlenet,GreedyCut,196,223,194.20470000000142,13.130523789248413,0.7005505000122768,0.3503204846789435,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,googlenet,MinCut,196,223,11.954533333334183,1.660324679759086,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,densenet121,Only-Local,430,965,0.7524999999996377,0.14039774452183407,5.716228864000003,1.9054096213333345,3.810819242666669,local-only,0
single_pair_partition,standard_pair,densenet121,Only-Server,430,965,0.4759333333339555,0.006949500380412596,1.312139794412277,0.7379210444122769,0.57421875,server-only,1
single_pair_partition,standard_pair,densenet121,ChainTopo,430,965,471.30850000000635,16.711691825982342,0.7787235880122769,0.4279583620122769,0.350765226,features_pool0,1
single_pair_partition,standard_pair,densenet121,GreedyCut,430,965,513.7775333333394,18.268890010495554,0.7787235880122769,0.4279583620122769,0.350765226,features_pool0,1
single_pair_partition,standard_pair,densenet121,MinCut,430,965,64.21576666666813,42.97319400093312,0.7787235880122769,0.4279583620122769,0.350765226,features_pool0,1
single_pair_partition,standard_pair,resnet101,Only-Local,344,377,0.6383000000103797,0.1881855644431765,15.659635200000022,5.219878400000007,10.439756800000014,local-only,0
single_pair_partition,standard_pair,resnet101,Only-Server,344,377,0.3381333333436487,0.020355070354065894,1.5962371182979913,1.0220183682979913,0.57421875,server-only,1
single_pair_partition,standard_pair,resnet101,ChainTopo,344,377,170.53306666665927,2.805829808712753,1.0628209118979912,0.7120556858979912,0.350765226,maxpool,1
single_pair_partition,standard_pair,resnet101,GreedyCut,344,377,235.69246666666763,7.219289241243539,1.062820911897991,0.712055685897991,0.350765226,maxpool,1
single_pair_partition,standard_pair,resnet101,MinCut,344,377,26.663600000006227,0.41454913662347737,1.0628209118979912,0.7120556858979912,0.350765226,maxpool,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,Only-Local,196,223,0.47843333332290666,0.06323634680456491,9.022399584,3.007466528,6.014933056,local-only,0
single_pair_topology_stress,googlenet_pair_stress,googlenet,Only-Server,196,223,0.25000000001303607,0.008417046212316188,23.570624775326564,12.086249775326563,11.484375,server-only,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,ChainTopo,196,223,80.92636666665005,6.3376044950242605,8.925184589726562,4.620588293726563,4.304596296,maxpool1,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,GreedyCut,196,223,188.60716666665667,2.631461064806272,8.925184589726562,4.620588293726563,4.304596296,maxpool1,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,MinCut,196,223,79.36029999999998,6.916456451100555,8.412309731076563,3.423027229201563,4.989282501875,"inception4a_branch1_conv,inception4a_branch2_0_conv,inception4a_branch3_0_conv,inception4a_branch4_1_conv",4
