md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,3,min-cut,features_2,0.2141610643390625,0.12035592663281251,0.09380513770624999,0.035221791999999995,0.04449462890625,0.0,0.04025803600000001,0.0003814697265625
1,vgg19,4,min-cut,server-only,2.2399876097265627,1.6657688597265625,0.57421875,0,0.57421875,0.0,1.09116864,0.0003814697265625
2,googlenet,2,min-cut,maxpool1,0.7373475525837052,0.3757729825837053,0.36157457,0.08508415999999999,0.19140625,0.0,0.09890110285714285,0.0003814697265625
3,densenet121,1,min-cut,features_pool0,0.9591025476659565,0.5286578336659564,0.430444714,0.10865384727272727,0.19140625,0.0,0.22821626666666672,0.0003814697265625
4,resnet101,0,min-cut,maxpool,1.6920603505265623,1.1122165965265622,0.5798437540000001,0.14939904,0.19140625,0.0,0.7710298367999997,0.0003814697265625
