md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,0,min-cut,features_2,0.2383158859390625,0.1445107482328125,0.09380513770624999,0.035221791999999995,0.04449462890625,0.0,0.06441285760000001,0.0003814697265625
1,vgg19,4,min-cut,server-only,2.2399876097265627,1.6657688597265625,0.57421875,0,0.57421875,0.0,1.09116864,0.0003814697265625
2,googlenet,1,min-cut,maxpool1,0.7538310697265624,0.3922564997265625,0.36157457,0.08508415999999999,0.19140625,0.0,0.11538462000000003,0.0003814697265625
3,densenet121,2,min-cut,features_pool0,0.9265002238564326,0.49605550985643254,0.430444714,0.10865384727272727,0.19140625,0.0,0.1956139428571428,0.0003814697265625
4,resnet101,3,min-cut,maxpool,1.4029241617265624,0.8230804077265623,0.5798437540000001,0.14939904,0.19140625,0.0,0.48189364799999984,0.0003814697265625
