experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat_count,total_cost,total_cost_std,total_latency,total_latency_std,total_energy,total_energy_std
bandwidth_sensitivity,mixed5,1,1.0,4.0,MinCut+RMatch,30,5.98603031537751,0.24942305613332094,3.9461433896712608,0.24942305613332114,2.0398869257062504,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,Rpartition+RMatch,30,69.31664852690534,20.741839868848984,24.066449651474056,6.656528933517179,45.25019887543129,14.132385125366103
bandwidth_sensitivity,mixed5,2,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,Only-Server,1,4.854452690823289,0.0,3.418905815823288,0.0,1.435546875,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,MinCut+BMatch,1,4.221072730068933,0.0,2.9746831228158075,0.0,1.246389607253125,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,MinCut+RMatch,30,4.690955747631684,0.28947073226911596,3.444566140378559,0.28947073226911607,1.246389607253125,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,Rpartition+RMatch,30,69.62433987984299,17.063648265151528,23.915716544964212,5.648682942879309,45.70862333487879,11.462880403640746
bandwidth_sensitivity,mixed5,3,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,Only-Server,1,3.8974214408232886,0.0,2.9403901908232886,0.0,0.95703125,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,MinCut+BMatch,1,3.6118776304941216,0.0,2.7395464253920383,0.0,0.8723312051020833,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,MinCut+RMatch,30,4.010491643956026,0.28342936577938427,3.1381604388539435,0.28342936577938443,0.8723312051020833,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,Rpartition+RMatch,30,69.53513193484773,19.599343730841625,23.838728165773077,6.400723150284876,45.69640376907466,13.244108614874747
bandwidth_sensitivity,mixed5,4,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,Only-Server,1,3.418905815823288,0.0,2.7011323783232886,0.0,0.7177734375,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,MinCut+BMatch,1,3.2315316976764135,0.0,2.596878781649851,0.0,0.6346529160265625,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,MinCut+RMatch,30,3.711688807628477,0.31065090682882135,3.077035891601915,0.3106509068288212,0.6346529160265625,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,Rpartition+RMatch,30,63.21907476359799,22.3213689996859,21.839168290359513,7.15960627727301,41.37990647323848,15.208409298149867
bandwidth_sensitivity,mixed5,5,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,Only-Server,1,3.131796440823288,0.0,2.557577690823288,0.0,0.57421875,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+BMatch,1,2.997394734785788,0.0,2.479810300204538,0.0,0.51758443458125,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+RMatch,30,3.3834439421973226,0.26420917684851003,2.8658595076160727,0.2642091768485101,0.51758443458125,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,Rpartition+RMatch,30,65.5832481510644,19.393859943201225,22.29554838623895,6.438360803690075,43.287699764825454,12.993195837148571
