model,bandwidth_mb_s,md_gflops,gain,mincut_cost,endpoint_cost,best_endpoint,partition
alexnet,0.05,1.0,0.4776278724188933,2.239635477176562,4.28743296,Only-Local,features_2
alexnet,0.1,1.0,0.6851862380953562,1.3497428990515625,4.28743296,Only-Local,features_2
alexnet,0.2,1.0,0.7889654209335876,0.9047966099890625,4.28743296,Only-Local,features_2
alexnet,0.5,1.0,0.7272008073032034,0.6378288365515624,2.3380891645837054,Only-Server,features_2
alexnet,1,1.0,0.5386552256612714,0.5488395787390624,1.1896516645837054,Only-Server,features_2
alexnet,2,1.0,0.18050377566503042,0.5043449498328124,0.6154329145837054,Only-Server,features_2
alexnet,3,1.0,0.0,0.42402666458370536,0.42402666458370536,Only-Server,server-only
alexnet,5,1.0,0.0,0.27090166458370535,0.27090166458370535,Only-Server,server-only
alexnet,0.05,1.5,0.2657325506578081,2.0987483091765626,2.85828864,Only-Local,features_2
alexnet,0.1,1.5,0.5770700991725025,1.2088557310515626,2.85828864,Only-Local,features_2
alexnet,0.2,1.5,0.7327388734298498,0.7639094419890624,2.85828864,Only-Local,features_2
alexnet,0.5,1.5,0.787458204725891,0.49694166855156247,2.3380891645837054,Only-Server,features_2
alexnet,1,1.5,0.6570824696977016,0.4079524107390625,1.1896516645837054,Only-Server,features_2
alexnet,2,1.5,0.40942745631558447,0.3634577818328125,0.6154329145837054,Only-Server,features_2
alexnet,3,1.5,0.17782000996014805,0.3486262388640625,0.42402666458370536,Only-Server,features_2
alexnet,5,1.5,0.0,0.27090166458370535,0.27090166458370535,Only-Server,server-only
alexnet,0.05,2.0,0.05383722889672327,2.0283047251765622,2.14371648,Only-Local,features_2
alexnet,0.1,2.0,0.4689539602496491,1.1384121470515625,2.14371648,Only-Local,features_2
alexnet,0.2,2.0,0.676512325926112,0.6934658579890625,2.14371648,Only-Local,features_2
alexnet,0.5,2.0,0.8010473453319897,0.42649808455156246,2.14371648,Only-Local,features_2
alexnet,1,2.0,0.7162960917159168,0.33750882673906246,1.1896516645837054,Only-Server,features_2
alexnet,2,2.0,0.5238892966408617,0.29301419783281246,0.6154329145837054,Only-Server,features_2
alexnet,3,2.0,0.34395009064542553,0.27818265486406246,0.42402666458370536,Only-Server,features_2
alexnet,5,2.0,0.016922170270483473,0.2663174204890625,0.27090166458370535,Only-Server,features_2
alexnet,0.05,3.0,0.0,1.42914432,1.42914432,Only-Local,local-only
alexnet,0.1,3.0,0.2527216824039419,1.0679685630515625,1.42914432,Only-Local,features_2
alexnet,0.2,3.0,0.5640592309186363,0.6230222739890625,1.42914432,Only-Local,features_2
alexnet,0.5,3.0,0.750861760027453,0.3560545005515625,1.42914432,Only-Local,features_2
alexnet,1,3.0,0.7755097137341319,0.2670652427390625,1.1896516645837054,Only-Server,features_2
alexnet,2,3.0,0.6383511369661388,0.2225706138328125,0.6154329145837054,Only-Server,features_2
alexnet,3,3.0,0.5100801713307027,0.2077390708640625,0.42402666458370536,Only-Server,features_2
alexnet,5,3.0,0.2769559508242156,0.1958738364890625,0.27090166458370535,Only-Server,features_2
alexnet,0.05,4.0,0.0,1.07185824,1.07185824,Only-Local,local-only
alexnet,0.1,4.0,0.0364894045582348,1.0327467710515625,1.07185824,Only-Local,features_2
alexnet,0.2,4.0,0.4516061359111607,0.5878004819890625,1.07185824,Only-Local,features_2
alexnet,0.5,4.0,0.7006761747229162,0.32083270855156254,1.07185824,Only-Local,features_2
alexnet,1,4.0,0.7836995209935014,0.23184345073906248,1.07185824,Only-Local,features_2
alexnet,2,4.0,0.6955820571287773,0.18734882183281248,0.6154329145837054,Only-Server,features_2
alexnet,3,4.0,0.5931452116733414,0.17251727886406248,0.42402666458370536,Only-Server,features_2
alexnet,5,4.0,0.4069728411010818,0.16065204448906248,0.27090166458370535,Only-Server,features_2
alexnet,0.05,5.0,0.0,0.8574865920000002,0.8574865920000002,Only-Local,local-only
alexnet,0.1,5.0,0.0,0.8574865920000002,0.8574865920000002,Only-Local,local-only
alexnet,0.2,5.0,0.33915304090368525,0.5666674067890625,0.8574865920000002,Only-Local,features_2
alexnet,0.5,5.0,0.6504905894183797,0.29969963335156247,0.8574865920000002,Only-Local,features_2
alexnet,1,5.0,0.7542697722566111,0.2107103755390625,0.8574865920000002,Only-Local,features_2
alexnet,2,5.0,0.7299206092263605,0.1662157466328125,0.6154329145837054,Only-Server,features_2
alexnet,3,5.0,0.6429842358789246,0.1513842036640625,0.42402666458370536,Only-Server,features_2
alexnet,5,5.0,0.4849829752672014,0.1395189692890625,0.27090166458370535,Only-Server,features_2
alexnet,0.05,6.0,0.0,0.71457216,0.71457216,Only-Local,local-only
alexnet,0.1,6.0,0.0,0.71457216,0.71457216,Only-Local,local-only
alexnet,0.2,6.0,0.22669994589620934,0.5525786899890626,0.71457216,Only-Local,features_2
alexnet,0.5,6.0,0.6003050041138428,0.28561091655156245,0.71457216,Only-Local,features_2
alexnet,1,6.0,0.7248400235197205,0.19662165873906248,0.71457216,Only-Local,features_2
alexnet,2,6.0,0.7528129772914159,0.15212702983281248,0.6154329145837054,Only-Server,features_2
alexnet,3,6.0,0.6762102520159801,0.13729548686406248,0.42402666458370536,Only-Server,features_2
alexnet,5,6.0,0.5369897313779478,0.1254302524890625,0.27090166458370535,Only-Server,features_2
vgg19,0.05,1.0,0.0,24.091476356583705,24.091476356583705,Only-Server,server-only
vgg19,0.1,1.0,0.0,12.607101356583705,12.607101356583705,Only-Server,server-only
vgg19,0.2,1.0,0.0,6.864913856583705,6.864913856583705,Only-Server,server-only
vgg19,0.5,1.0,0.0,3.419601356583705,3.419601356583705,Only-Server,server-only
vgg19,1,1.0,0.0,2.271163856583705,2.271163856583705,Only-Server,server-only
vgg19,2,1.0,0.0,1.6969451065837051,1.6969451065837051,Only-Server,server-only
vgg19,3,1.0,0.0,1.5055388565837051,1.5055388565837051,Only-Server,server-only
vgg19,5,1.0,0.0,1.352413856583705,1.352413856583705,Only-Server,server-only
vgg19,0.05,1.5,0.0,24.091476356583705,24.091476356583705,Only-Server,server-only
vgg19,0.1,1.5,0.0,12.607101356583705,12.607101356583705,Only-Server,server-only
vgg19,0.2,1.5,0.0,6.864913856583705,6.864913856583705,Only-Server,server-only
vgg19,0.5,1.5,0.0,3.419601356583705,3.419601356583705,Only-Server,server-only
vgg19,1,1.5,0.0,2.271163856583705,2.271163856583705,Only-Server,server-only
vgg19,2,1.5,0.0,1.6969451065837051,1.6969451065837051,Only-Server,server-only
vgg19,3,1.5,0.0,1.5055388565837051,1.5055388565837051,Only-Server,server-only
vgg19,5,1.5,0.0,1.352413856583705,1.352413856583705,Only-Server,server-only
vgg19,0.05,2.0,0.0,24.091476356583705,24.091476356583705,Only-Server,server-only
vgg19,0.1,2.0,0.0,12.607101356583705,12.607101356583705,Only-Server,server-only
vgg19,0.2,2.0,0.0,6.864913856583705,6.864913856583705,Only-Server,server-only
vgg19,0.5,2.0,0.0,3.419601356583705,3.419601356583705,Only-Server,server-only
vgg19,1,2.0,0.0,2.271163856583705,2.271163856583705,Only-Server,server-only
vgg19,2,2.0,0.0,1.6969451065837051,1.6969451065837051,Only-Server,server-only
vgg19,3,2.0,0.0,1.5055388565837051,1.5055388565837051,Only-Server,server-only
vgg19,5,2.0,0.0,1.352413856583705,1.352413856583705,Only-Server,server-only
vgg19,0.05,3.0,0.0,24.091476356583705,24.091476356583705,Only-Server,server-only
