md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,-1,local-only,local-only,0.8574865919999999,0.35728608,0.5002005119999999,0.35728608,0,0.0,0,0.0
1,vgg19,-1,local-only,local-only,61.10544384000001,21.8233728,39.282071040000005,21.8233728,0,0.0,0,0.0
2,googlenet,-1,local-only,local-only,3.2222855657142846,1.0740951885714283,2.1481903771428565,1.0740951885714283,0,0.0,0,0.0
3,densenet121,-1,local-only,local-only,8.314514711272729,2.5982858472727277,5.716228864000001,2.5982858472727277,0,0.0,0,0.0
4,resnet101,-1,local-only,local-only,35.2341791999999,9.787271999999973,25.44690719999993,9.787271999999973,0,0.0,0,0.0
