experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,5,31.773973800421146,12.150435303389894,19.62353849703125
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,6,88.60227144092939,30.389415007154412,58.212856433774974
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,7,95.42242140741516,31.98232859381519,63.440092813599975
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,8,89.93360401983128,31.04534670092815,58.888257318903136
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,9,31.802606017360592,12.431587351185588,19.371018666175
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,10,45.06785852639617,16.618879509796162,28.448979016600003
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,11,71.57515342706759,23.2833313543114,48.29182207275618
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,12,48.48750196523405,16.006454139974714,32.48104782525934
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,13,55.766674782480465,19.16132409501178,36.605350687468686
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,14,73.00549413553463,24.645497486397144,48.35999664913748
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,15,58.080785841585836,21.085147821460843,36.99563802012499
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,16,95.05470920211069,31.72579709810134,63.32891210400934
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,17,89.01278875001267,30.635743789987682,58.377044960024996
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,18,77.41281683492856,27.985250094291093,49.4275667406375
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,19,82.81512697369374,28.905107785240624,53.91001918845312
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,20,26.37803065291988,11.098108244326129,15.27992240859375
