model,md_gflops,method,cost,latency,energy,partition
vgg19,6.0,Only-Local,19.641035520000003,6.547011840000001,13.094023680000001,local-only
vgg19,6.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,6.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
googlenet,1.0,Only-Local,9.022399584,3.007466528,6.014933056,local-only
googlenet,1.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,1.0,MinCut,1.1770217960122769,0.5091442500122768,0.6678775459999999,maxpool1
googlenet,1.5,Only-Local,6.014933056,2.0049776853333334,4.009955370666667,local-only
googlenet,1.5,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,1.5,MinCut,0.9387861480122768,0.4297323673456101,0.5090537806666666,maxpool1
googlenet,2.0,Only-Local,4.511199792,1.503733264,3.007466528,local-only
googlenet,2.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,2.0,MinCut,0.8196683240122767,0.3900264260122768,0.42964189799999997,maxpool1
googlenet,3.0,Only-Local,3.007466528,1.0024888426666667,2.0049776853333334,local-only
googlenet,3.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,3.0,MinCut,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1
googlenet,4.0,Only-Local,2.255599896,0.751866632,1.503733264,local-only
googlenet,4.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,4.0,MinCut,0.6409915880122767,0.3304675140122768,0.310524074,maxpool1
googlenet,5.0,Only-Local,1.8044799168,0.6014933056,1.2029866112,local-only
googlenet,5.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,5.0,MinCut,0.6052562408122768,0.3185557316122768,0.2867005092,maxpool1
googlenet,6.0,Only-Local,1.503733264,0.5012444213333334,1.0024888426666667,local-only
googlenet,6.0,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875,server-only
googlenet,6.0,MinCut,0.5814326760122768,0.3106145433456101,0.27081813266666666,maxpool1
densenet121,1.0,Only-Local,17.148686592000008,5.716228864000002,11.432457728000005,local-only
densenet121,1.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,1.0,MinCut,1.256800516012277,0.5873173380122769,0.669483178,features_pool0
densenet121,1.5,Only-Local,11.432457728000006,3.810819242666669,7.621638485333338,local-only
densenet121,1.5,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,1.5,MinCut,1.017762052012277,0.5076378500122769,0.510124202,features_pool0
densenet121,2.0,Only-Local,8.574343296000004,2.858114432000001,5.716228864000002,local-only
densenet121,2.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,2.0,MinCut,0.898242820012277,0.4677981060122769,0.430444714,features_pool0
densenet121,3.0,Only-Local,5.716228864000003,1.9054096213333345,3.810819242666669,local-only
densenet121,3.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,3.0,MinCut,0.7787235880122769,0.4279583620122769,0.350765226,features_pool0
densenet121,4.0,Only-Local,4.287171648000002,1.4290572160000006,2.858114432000001,local-only
densenet121,4.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
