model,bandwidth_mb_s,method,cost,latency,energy,partition
densenet121,0.1,Only-Server,11.648077294412277,5.905889794412277,5.7421875,server-only
densenet121,0.1,MinCut,4.2240360880122765,2.150614612012277,2.073421476,features_pool0
densenet121,0.2,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,0.2,Only-Server,5.905889794412277,3.034796044412277,2.87109375,server-only
densenet121,0.2,MinCut,2.309973588012277,1.1935833620122769,1.116390226,features_pool0
densenet121,0.5,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,0.5,Only-Server,2.460577294412277,1.312139794412277,1.1484375,server-only
densenet121,0.5,MinCut,1.161536088012277,0.619364612012277,0.542171476,features_pool0
densenet121,1,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,1,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,1,MinCut,0.7787235880122769,0.427958362012277,0.350765226,features_pool0
densenet121,2,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,2,Only-Server,0.737921044412277,0.450811669412277,0.287109375,server-only
densenet121,2,MinCut,0.5873173380122769,0.332255237012277,0.255062101,features_pool0
densenet121,3,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,3,Only-Server,0.546514794412277,0.355108544412277,0.19140625,server-only
densenet121,3,MinCut,0.5235152546789437,0.3003541953456103,0.2231610593333333,features_pool0
densenet121,5,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,5,Only-Server,0.39338979441227695,0.278546044412277,0.11484375,server-only
densenet121,5,MinCut,0.39338979441227695,0.278546044412277,0.11484375,server-only
resnet101,0.05,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,0.05,Only-Server,23.416549618297992,11.932174618297992,11.484375,server-only
resnet101,0.05,MinCut,8.33625841189799,4.348774435897991,3.987483976,maxpool
resnet101,0.1,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
