md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,3,min-cut,features_2,0.21416106433906248,0.1203559266328125,0.09380513770624999,0.035221791999999995,0.04449462890625,0.0,0.040258036,0.0003814697265625
1,vgg19,4,min-cut,server-only,2.2399876097265627,1.6657688597265625,0.57421875,0,0.57421875,0.0,1.09116864,0.0003814697265625
2,googlenet,2,min-cut,maxpool1,0.7373475525837053,0.37577298258370534,0.36157457,0.08508415999999999,0.19140625,0.0,0.09890110285714286,0.0003814697265625
3,densenet121,1,min-cut,features_pool0,0.9591025476659567,0.5286578336659566,0.430444714,0.10865384727272727,0.19140625,0.0,0.22821626666666692,0.0003814697265625
4,resnet101,0,min-cut,maxpool,1.692060350526563,1.112216596526563,0.5798437540000001,0.14939904,0.19140625,0.0,0.7710298368000004,0.0003814697265625
