model,md_gflops,method,cost,latency,energy,partition
densenet121,1.0,Only-Local,17.14868659200001,5.716228864000004,11.432457728000008,local-only
densenet121,1.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,1.0,MinCut,1.256800516012277,0.5873173380122769,0.669483178,features_pool0
densenet121,1.5,Only-Local,11.43245772800001,3.8108192426666703,7.6216384853333405,local-only
densenet121,1.5,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,1.5,MinCut,1.017762052012277,0.5076378500122769,0.510124202,features_pool0
densenet121,2.0,Only-Local,8.574343296000006,2.858114432000002,5.716228864000004,local-only
densenet121,2.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,2.0,MinCut,0.898242820012277,0.467798106012277,0.430444714,features_pool0
densenet121,3.0,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only
densenet121,3.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,3.0,MinCut,0.7787235880122769,0.427958362012277,0.350765226,features_pool0
densenet121,4.0,Only-Local,4.287171648000003,1.429057216000001,2.858114432000002,local-only
densenet121,4.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,4.0,MinCut,0.718963972012277,0.408038490012277,0.31092548200000003,features_pool0
densenet121,5.0,Only-Local,3.4297373184,1.1432457728,2.2864915456,local-only
densenet121,5.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,5.0,MinCut,0.683108202412277,0.39608656681227694,0.2870216356,features_pool0
densenet121,6.0,Only-Local,2.8581144320000025,0.9527048106666676,1.9054096213333351,local-only
densenet121,6.0,Only-Server,1.312139794412277,0.737921044412277,0.57421875,server-only
densenet121,6.0,MinCut,0.659204356012277,0.388118618012277,0.271085738,features_pool0
resnet101,1.0,Only-Local,46.97890559999996,15.659635199999988,31.319270399999976,local-only
resnet101,1.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,1.0,MinCut,1.5408978398979913,0.8714146618979913,0.669483178,maxpool
resnet101,1.5,Only-Local,31.319270400000043,10.439756800000014,20.879513600000028,local-only
resnet101,1.5,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,1.5,MinCut,1.3018593758979913,0.7917351738979913,0.510124202,maxpool
resnet101,2.0,Only-Local,23.48945279999998,7.829817599999994,15.659635199999988,local-only
resnet101,2.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,2.0,MinCut,1.1823401438979915,0.7518954298979914,0.430444714,maxpool
resnet101,3.0,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,3.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,3.0,MinCut,1.0628209118979914,0.7120556858979914,0.350765226,maxpool
resnet101,4.0,Only-Local,11.74472639999999,3.914908799999997,7.829817599999994,local-only
resnet101,4.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,4.0,MinCut,1.0030612958979914,0.6921358138979914,0.31092548200000003,maxpool
resnet101,5.0,Only-Local,9.395781120000006,3.131927040000002,6.263854080000004,local-only
resnet101,5.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,5.0,MinCut,0.9672055262979913,0.6801838906979913,0.2870216356,maxpool
resnet101,6.0,Only-Local,7.829817600000011,2.6099392000000035,5.219878400000007,local-only
resnet101,6.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,6.0,MinCut,0.9433016798979914,0.6722159418979914,0.271085738,maxpool
