experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat_count,total_cost,total_cost_std,total_latency,total_latency_std,total_energy,total_energy_std
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+BMatch,1,2.9973947347857886,0.0,2.479810300204538,0.0,0.51758443458125,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+RMatch,1,3.7766415017413446,0.0,3.2590570671600947,0.0,0.51758443458125,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,Rpartition+RMatch,1,59.949109481614656,0.0,20.8444027348334,0.0,39.10470674678126,0.0
beta_sensitivity,mixed5,1.0,0,4.0,Only-Local,1,35.64031191584416,0.0,35.64031191584416,0.0,73.09359799314285,0.0
beta_sensitivity,mixed5,1.0,0,4.0,Only-Server,1,4.854452690823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,0,4.0,MinCut+BMatch,1,3.5216720252689324,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0,4.0,MinCut+RMatch,1,3.776527695414965,0.0,3.776527695414965,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0,4.0,Rpartition+RMatch,1,15.084065314592479,0.0,15.084065314592479,0.0,23.958617377850004,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,Only-Local,1,72.18711091241558,0.0,35.64031191584416,0.0,73.09359799314285,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,Only-Server,1,6.289999565823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,MinCut+BMatch,1,4.541615488122058,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,MinCut+RMatch,1,5.108580171664914,0.0,4.088636708811789,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,Rpartition+RMatch,1,53.7879108515062,0.0,28.4087126134851,0.0,50.758396476042186,0.0
beta_sensitivity,mixed5,1.0,1,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
beta_sensitivity,mixed5,1.0,1,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,1,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,1,4.0,MinCut+RMatch,1,6.113071937832326,0.0,4.073185012126076,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,1,4.0,Rpartition+RMatch,1,94.5014385302197,0.0,32.084397977007214,0.0,62.41704055321249,0.0
beta_sensitivity,mixed5,1.0,2,4.0,Only-Local,1,181.82750790212987,0.0,35.64031191584416,0.0,73.09359799314285,0.0
beta_sensitivity,mixed5,1.0,2,4.0,Only-Server,1,10.596640190823287,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,2,4.0,MinCut+BMatch,1,7.601445876681432,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,2,4.0,MinCut+RMatch,1,7.863420775395719,0.0,3.783646923983218,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,2,4.0,Rpartition+RMatch,1,62.902240458421424,0.0,14.800160625421412,0.0,24.051039916500002,0.0
beta_sensitivity,mixed5,1.0,4,4.0,Only-Local,1,328.01470388841557,0.0,35.64031191584416,0.0,73.09359799314285,0.0
beta_sensitivity,mixed5,1.0,4,4.0,Only-Server,1,16.33882769082329,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,4,4.0,MinCut+BMatch,1,11.681219728093932,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,4,4.0,MinCut+RMatch,1,12.657311764382822,0.0,4.497764061557821,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,4,4.0,Rpartition+RMatch,1,206.40467945440884,0.0,23.44567422753395,0.0,45.73975130671872,0.0
