md_count,es_slots,matrix_pairs,matrix_build_ms,hungarian_ms,total_runtime_ms,total_cost
5,5,25,364.10410000002,0.0569000000041342,364.16100000002416,5.25050938474355
10,10,100,1926.580700000045,0.16590000001315275,1926.7466000000582,8.944144651383084
10,20,200,3928.1751999999983,0.25170000003527093,3928.4269000000336,8.63862354047697
20,20,400,7312.204099999974,0.34040000002732995,7312.544500000001,17.888289302766175
20,50,1000,21362.702300000023,0.38949999998294516,21363.091800000006,17.20979671864453
50,50,2500,52836.67360000004,1.420800000005329,52838.094400000045,44.72072325691543
