md,model,server_slot,method,partition,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time
0,alexnet,-1,local-only,local-only,0.8574865920000003,0.3572860800000001,0.5002005120000002,0.3572860800000001,0,0.0,0,0.0
1,vgg19,-1,local-only,local-only,61.10544384000002,21.823372800000005,39.28207104000001,21.823372800000005,0,0.0,0,0.0
2,googlenet,-1,local-only,local-only,3.222285565714287,1.074095188571429,2.148190377142858,1.074095188571429,0,0.0,0,0.0
3,densenet121,-1,local-only,local-only,8.314514711272732,2.5982858472727286,5.716228864000003,2.5982858472727286,0,0.0,0,0.0
4,resnet101,-1,local-only,local-only,35.23417919999997,9.787271999999993,25.44690719999998,9.787271999999993,0,0.0,0,0.0
